District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Achievement First Bridgeport Academy District,2850013,548.0,542.0,14219,0.513,0.446,0.019,0.009,0.045,2021-22,Fairfield,
Achievement First Hartford Academy District,2880013,516.0,514.0,15747,0.749,0.22,0.0,0.0,0.016,2021-22,Hartford,
Amistad Academy District,2790013,543.0,538.0,14184,0.603,0.355,0.013,0.0,0.019,2021-22,New Haven,
Andover School District,10011,82.0,82.0,22832,0.0,0.127,0.838,0.0,0.0,2021-22,Tolland,Suburban
Ansonia School District,20011,1070.0,1063.0,18865,0.208,0.464,0.253,0.021,0.0,2021-22,New Haven,Urban
Area Cooperative Educational Services,2440014,1127.0,1110.0,49216,0.334,0.328,0.255,0.022,0.056,2021-22,New Haven,Suburban
Ashford School District,30011,222.0,221.0,24046,0.022,0.087,0.829,0.022,0.041,2021-22,Windham,Suburban
Avon School District,40011,1452.0,1451.0,20828,0.055,0.078,0.631,0.189,0.044,2021-22,Hartford,
Barkhamsted School District,50011,105.0,105.0,22595,0.0,0.0,0.895,0.0,0.057,2021-22,,
Berlin School District,70011,1158.0,1152.0,21295,0.027,0.123,0.779,0.04,0.029,2021-22,Hartford,
Bethany School District,80011,244.0,243.0,18782,0.023,0.086,0.788,0.084,0.0,2021-22,,
Bethel School District,90011,1436.0,1435.0,18533,0.044,0.248,0.58,0.074,0.037,2021-22,Fairfield,
Bloomfield School District,110011,764.0,762.0,22782,0.674,0.166,0.088,0.022,0.045,2021-22,Hartford,
Bolton School District,120011,314.0,310.0,20685,0.054,0.102,0.774,0.019,0.05,2021-22,Tolland,
Booker T. Washington Academy District,2950013,270.0,269.0,14570,0.818,0.153,0.0,0.0,0.018,2021-22,New Haven,
Bozrah School District,130011,95.0,95.0,26390,0.0,0.153,0.753,0.0,0.076,2021-22,,
Branford School District,140011,1148.0,1147.0,23954,0.039,0.158,0.683,0.065,0.053,2021-22,,
Brass City Charter School District,2900013,213.0,212.0,16231,0.328,0.525,0.05,0.033,0.064,2021-22,,
Bridgeport School District,150011,8511.0,8491.0,18565,0.291,0.574,0.089,0.02,0.019,2021-22,Fairfield,
Bristol School District,170011,3351.0,3331.0,19999,0.076,0.367,0.466,0.033,0.057,2021-22,Hartford,
Brookfield School District,180011,1101.0,1094.0,20222,0.029,0.155,0.722,0.074,0.012,2021-22,Fairfield,
Brooklyn School District,190011,540.0,540.0,17977,0.0,0.114,0.791,0.021,0.053,2021-22,Windham,
Canaan School District,210011,46.0,46.0,35047,0.0,0.0,0.889,0.0,0.0,2021-22,,
Canterbury School District,220011,285.0,285.0,18889,0.0,0.11,0.863,0.0,0.021,2021-22,,
Canton School District,230011,681.0,679.0,20770,0.066,0.079,0.802,0.0,0.029,2021-22,Hartford,
Capital Preparatory Harbor School District,2970013,373.0,373.0,14059,0.671,0.311,0.0,0.0,0.0,2021-22,,
Capitol Region Education Council,2410014,3491.0,3453.0,27713,0.31,0.427,0.157,0.048,0.056,2021-22,,
Chaplin School District,240011,71.0,71.0,26865,0.0,0.083,0.826,0.0,0.049,2021-22,Windham,
Cheshire School District,250011,1840.0,1836.0,19658,0.0,0.059,0.901,0.0,0.0,2021-22,New Haven,
Chester School District,260011,124.0,124.0,24162,0.0,0.059,0.901,0.0,0.0,2021-22,,
Clinton School District,270011,609.0,608.0,24251,0.0,0.222,0.715,0.033,0.019,2021-22,Middlesex,
Colchester School District,280011,912.0,912.0,19832,0.019,0.09,0.819,0.02,0.049,2021-22,New London,
Colebrook School District,290011,50.0,50.0,31759,0.0,0.0,0.931,0.0,0.0,2021-22,,
Columbia School District,300011,299.0,297.0,19937,0.0,0.108,0.838,0.0,0.037,2021-22,,
Cooperative Educational Services,2430014,287.0,287.0,20125,0.224,0.4,0.275,0.045,0.05,2021-22,,
Cornwall School District,310011,56.0,56.0,33824,0.0,0.074,0.83,0.064,0.0,2021-22,,
